match,player,threshold,odds,decimal_odds,source_url,manual_result,notes
Czechia v Mexico,Adam Hlozek,1+,8/13,1.6153846153846154,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789108300,,
Czechia v Mexico,Armando Gonzalez,1+,8/11,1.7272727272727273,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789108300,,
Czechia v Mexico,Cesar Montes,1+,8/13,1.6153846153846154,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789108300,,
Czechia v Mexico,Denis Visinsky,1+,2/5,1.4,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789108300,,
Czechia v Mexico,Guillermo Martinez,1+,20/23,1.8695652173913042,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789108300,,
South Africa v South Korea,Cho Gue-sung,1+,3/4,1.75,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789107300,,
South Africa v South Korea,Hwang Hee-Chan,1+,31/40,1.775,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789107300,,
South Africa v South Korea,Ime Okon,1+,4/11,1.3636363636363638,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789107300,,
South Africa v South Korea,Iqraam Rayners,1+,3/5,1.6,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789107300,,
South Africa v South Korea,Kang-in Lee,1+,4/11,1.3636363636363638,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789107300,,
Curacao v Ivory Coast,Brandley Kuwas,1+,11/20,1.55,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789108200,,
Curacao v Ivory Coast,Elye Wahi,1+,1/1,2.0,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789108200,,
Curacao v Ivory Coast,Evan Ndicka,1+,2/5,1.4,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789108200,,
Curacao v Ivory Coast,Jurgen Locadia,1+,2/5,1.4,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789108200,,
Curacao v Ivory Coast,Ousmane Diomande,1+,4/11,1.3636363636363638,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789108200,,
Ecuador v Germany,Alan Minda,1+,4/6,1.6666666666666665,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789108500,,
Ecuador v Germany,Deniz Undav,1+,8/15,1.5333333333333332,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789108500,,
Ecuador v Germany,Enner Valencia,1+,4/6,1.6666666666666665,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789108500,,
Ecuador v Germany,Jamie Leweling,1+,4/11,1.3636363636363638,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789108500,,
Ecuador v Germany,Jeremy Arevalo,1+,1/2,1.5,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789108500,,
Japan v Sweden,Alexander Isak,1+,21/20,2.05,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789109700,,
Japan v Sweden,Anthony Elanga,1+,37/40,1.925,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789109700,,
Japan v Sweden,Ayase Ueda,1+,21/20,2.05,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789109700,,
Japan v Sweden,Carl Starfelt,1+,4/9,1.4444444444444444,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789109700,,
Japan v Sweden,Gustaf Nilsson,1+,3/5,1.6,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789109700,,
Tunisia v Netherlands,Brian Brobbey,1+,20/23,1.8695652173913042,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789108900,,
Tunisia v Netherlands,Cody Gakpo,1+,40/85,1.4705882352941178,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789108900,,
Tunisia v Netherlands,Crysencio Summerville,1+,1/3,1.3333333333333333,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789108900,,
Tunisia v Netherlands,Donyell Malen,1+,4/7,1.5714285714285714,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789108900,,
Tunisia v Netherlands,Firas Chaouat,1+,2/5,1.4,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789108900,,
Paraguay v Australia,Alex Arce,1+,8/13,1.6153846153846154,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789107100,,
Paraguay v Australia,Antonio Sanabria,1+,19/20,1.95,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789107100,,
Paraguay v Australia,Braian Ojeda,1+,4/9,1.4444444444444444,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789107100,,
Paraguay v Australia,Cameron Burgess,1+,40/85,1.4705882352941178,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789107100,,
Paraguay v Australia,Gabriel Avalos,1+,3/5,1.6,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789107100,,
Türkiye v USA,Deniz Gul,1+,4/6,1.6666666666666665,https://www.betvictor.com/en-ie/sports/240/meetings/726764210/events/2789107200,,
